"date","open","high","low","close","volume"
2026-01-29,63.5,66.4800033569336,63.2799987792969,65.4199981689453,560007
2026-01-30,65.5199966430664,66.1100006103516,63.6399993896484,65.2099990844727,449325
2026-02-02,64.7200012207031,64.7399978637695,61.3899993896484,62.1399993896484,414083
2026-02-03,62.2799987792969,64.2099990844727,61.1199989318848,63.2099990844727,381144
2026-02-04,63.7999992370605,65.5299987792969,62.8600006103516,65.1399993896484,446588
2026-02-05,64.4899978637695,64.6699981689453,62.6500015258789,63.2900009155273,389763
2026-02-06,63.0999984741211,64.5800018310547,62.2000007629395,63.5499992370605,448924
2026-02-09,62.9900016784668,64.879997253418,62.6199989318848,64.3600006103516,298005
2026-02-10,64.4400024414062,64.7099990844727,63.6500015258789,63.9599990844727,276292
2026-02-11,64.1999969482422,65.8300018310547,64.1500015258789,64.629997253418,340194
2026-02-12,64.870002746582,65.0999984741211,62.3899993896484,62.8400001525879,369303
2026-02-13,62.9900016784668,63.2599983215332,62.1399993896484,62.8899993896484,255793
2026-02-17,63.2999992370605,64.1399993896484,61.8699989318848,62.3300018310547,328727
2026-02-18,62.2999992370605,65.5599975585938,62.1199989318848,65.1900024414062,115379
2026-02-19,65.0999984741211,66.9000015258789,64.879997253418,66.4300003051758,113408
2026-02-20,66.6699981689453,67.0500030517578,65.9400024414062,66.3899993896484,351351
2026-02-23,65.8899993896484,67.2799987792969,65.379997253418,66.3099975585938,270365
2026-02-24,66.3099975585938,67.1500015258789,65.5500030517578,65.629997253418,312124
2026-02-25,66.0699996948242,66.5999984741211,65.120002746582,65.4199981689453,306780
2026-02-26,65.6500015258789,66.7099990844727,63.5999984741211,65.2099990844727,498542
2026-02-27,65.3499984741211,67.8300018310547,64.8499984741211,67.0199966430664,437053
2026-03-02,75,75.3300018310547,69.1999969482422,71.2300033569336,881329
2026-03-03,71.2300033569336,77.9800033569336,70.4100036621094,74.5599975585938,1009753
2026-03-04,74.7399978637695,77.2300033569336,73.2799987792969,74.6600036621094,617822
2026-03-05,76.1500015258789,82.1600036621094,74.9700012207031,81.0100021362305,707030
2026-03-06,79.0800018310547,92.6100006103516,78.2399978637695,90.9000015258789,996251
